Date,Inflation,Unemployment,Interest Rate,GDP,GDP Yearly Growth,NASDAQ,NASDAQ Yearly Growith
1/1/1984,5.0146534,10.4,8.68,3473.413,,230.59,
4/1/1983,4.828054152,10.2,8.8,3578.848,,268.73,
7/1/1983,3.69758219,9.4,9.37,3689.179,,321.58,
10/1/1983,4.709706722,8.8,9.48,3794.706,,294.64,
1/1/1984,4.852490457,8,9.56,3908.054,12.51336942,277.63,20.39984388
4/1/1984,4.47375382,7.7,10.29,4009.601,12.03607977,249.8,-7.044245153
7/1/1984,4.709706722,7.5,11.23,4084.25,10.70891383,237.91,-26.01840911
10/1/1984,3.496534119,7.4,9.99,4148.551,9.324701308,247.86,-15.87700244
1/1/1985,3.074902723,7.3,8.35,4230.168,8.242311903,245.91,-11.42527825
4/1/1985,4.493616325,7.3,8.27,4294.887,7.115072048,280.32,12.21777422
7/1/1985,2.431483442,7.4,7.88,4386.773,7.40706372,296.48,24.61855323
10/1/1985,3.462854485,7.1,7.99,4444.094,7.124005466,281.77,13.6811103
1/1/1986,4.423300377,6.7,8.14,4507.894,6.565365725,324.99,32.15810662
4/1/1986,4.169624405,7.1,6.99,4545.34,5.83142234,374.15,33.47246005
7/1/1986,4.019606265,7,6.56,4607.669,5.035501039,407.61,37.48313546
10/1/1986,4.170621039,7,5.85,4657.627,4.804871364,352.34,25.04524967
1/1/1987,5.358297846,6.6,6.43,4722.156,4.75303989,353.26,8.698729192
4/1/1987,4.73286577,6.3,6.37,4806.16,5.738184602,428.34,14.48349592
7/1/1987,4.187814481,6.1,6.58,4884.555,6.009242417,424.46,4.133853438
10/1/1987,3.784955092,6,7.29,5007.994,7.522435781,448.45,27.27762956
1/1/1988,3.318591387,5.7,6.83,5073.372,7.437619596,338.48,-4.183887222
4/1/1988,4.737497993,5.4,6.87,5190.036,7.98716647,371.89,-13.17878321
7/1/1988,4.570726716,5.4,7.75,5282.835,8.153864579,394.69,-7.013617302
10/1/1988,4.272697735,5.4,8.3,5399.509,7.8178009,384.48,-14.26468949
1/1/1989,4.681421776,5.4,9.12,5511.253,8.630965756,378.56,11.8411723
4/1/1989,4.879063021,5.2,9.84,5612.463,8.139192098,407.65,9.615746592
7/1/1989,5.814260244,5.2,9.24,5695.365,7.808875348,436,10.46644202
10/1/1989,5.169128098,5.3,8.84,5747.237,6.43999297,475.19,23.5929047
1/1/1990,5.216139935,5.4,8.23,5872.701,6.558363407,459.33,21.33611581
4/1/1990,5.314373822,5.4,8.26,5960.028,6.192735703,433.18,6.262725377
7/1/1990,5.302671688,5.5,8.15,6015.116,5.614231924,462.04,5.972477064
10/1/1990,4.553350484,5.9,8.11,6004.733,4.480344207,354.65,-25.36669543
1/1/1991,5.562784486,6.4,6.91,6035.178,2.7666486,372.19,-18.9711101
4/1/1991,3.372761236,6.7,5.91,6126.862,2.799215037,480.86,11.0069717
7/1/1991,4.442030312,6.8,5.82,6205.937,3.172357773,481.31,4.170634577
10/1/1991,2.335350136,7,5.21,6264.54,4.326703619,528.51,49.0229804
1/1/1992,1.732730355,7.3,4.03,6363.102,5.433543137,586.45,57.5673715
4/1/1992,2.428294262,7.4,3.73,6470.763,5.613003851,602.09,25.21108015
7/1/1992,1.77845401,7.7,3.25,6566.641,5.812240762,568.99,18.21694958
10/1/1992,3.783837809,7.3,3.1,6680.803,6.644749654,578.33,9.426500918
1/1/1993,3.442923848,7.3,3.02,6729.459,5.757522039,671.8,14.55367039
4/1/1993,4.096520336,7.1,2.96,6808.939,5.226215208,686.64,14.04275108
7/1/1993,1.688853362,6.9,3.06,6882.098,4.803932482,703.59,23.65595177
10/1/1993,3.699815313,6.8,2.99,7013.738,4.983457827,763.23,31.97136583
1/1/1994,2.711771858,6.6,3.05,7115.652,5.738841711,770.76,14.73057458
4/1/1994,2.514685981,6.4,3.56,7246.931,6.432602789,727.41,5.937609228
7/1/1994,2.069453081,6.1,4.26,7331.075,6.523839097,706.85,0.4633380236
10/1/1994,2.220319586,5.8,4.76,7455.288,6.295501771,760.88,-0.3079019431
1/1/1995,4.186194834,5.6,5.53,7522.289,5.71468363,743.58,-3.526389538
4/1/1995,3.658509799,5.8,6.05,7580.997,4.609758255,818.05,12.46064805
7/1/1995,3.032715326,5.7,5.85,7683.125,4.802160665,934.53,32.21051142
10/1/1995,3.227007329,5.5,5.76,7772.586,4.256012645,1027.57,35.05020503
1/1/1996,3.775767724,5.6,5.56,7868.468,4.602043341,1058.65,42.37203798
4/1/1996,3.133275713,5.6,5.22,8032.84,5.960205498,1106.57,35.26923782
7/1/1996,3.196372463,5.5,5.4,8131.408,5.834644106,1197.45,28.13392828
10/1/1996,2.881981803,5.2,5.24,8259.771,6.267991116,1221.51,18.87365338
1/1/1997,3.026179054,5.3,5.25,8362.655,6.280599985,1280.7,20.97482643
4/1/1997,2.98770835,5.1,5.51,8518.825,6.049977343,1216.93,9.973160306
7/1/1997,2.026176338,4.9,5.52,8662.823,6.535338037,1438.25,20.10939914
10/1/1997,2.481544929,4.7,5.5,8765.907,6.127724364,1690.3,38.37790931
1/1/1998,2.421792778,4.6,5.56,8866.48,6.024701485,1581.53,23.48949793
4/1/1998,2.274818748,4.3,5.45,8969.699,5.292678274,1847.66,51.829604
7/1/1998,3.214777163,4.5,5.54,9121.097,5.290123093,1914.46,33.11037719
10/1/1998,3.337016067,4.5,5.07,9293.991,6.024293892,1612.33,-4.612790629
1/1/1999,1.549172043,4.3,4.63,9411.682,6.14902419,2208.05,39.61480339
4/1/1999,2.675990382,4.3,4.74,9526.21,6.204344204,2493.37,34.94744704
7/1/1999,2.39370687,4.3,4.99,9686.626,6.200230082,2706.18,41.35474233
10/1/1999,1.693605865,4.1,5.2,9900.169,6.522257231,2736.85,69.74502738
1/1/2000,3.851771126,4,5.45,10002.179,6.274085759,4131.15,87.09494803
4/1/2000,2.276901266,3.8,6.02,10247.72,7.573945987,4223.68,69.39643936
7/1/2000,3.436363353,4,6.54,10318.165,6.519700461,3991.93,47.51162155
10/1/2000,2.701073265,3.9,6.51,10435.744,5.409756136,3568.9,30.40173923
1/1/2001,4.076477832,4.2,5.98,10470.231,4.679500337,2291.86,-44.52246953
4/1/2001,3.144633088,4.4,4.8,10599,3.427884446,1782.97,-57.78633798
7/1/2001,2.435041108,4.6,3.77,10598.02,2.712255522,2148.72,-46.17340484
10/1/2001,4.184076582,5.3,2.49,10660.465,2.153377852,1480.46,-58.51775057
1/1/2002,2.761589672,5.7,1.73,10783.5,2.991997025,1979.25,-13.64001292
4/1/2002,2.676482145,5.9,1.75,10887.46,2.721577507,1862.62,4.467265293
7/1/2002,2.245055231,5.8,1.73,10984.04,3.642378482,1403.8,-34.66808146
10/1/2002,2.313903075,5.7,1.75,11061.433,3.761261821,1213.72,-18.01737298
1/1/2003,2.181390428,5.8,1.24,11174.129,3.622469514,1384.85,-30.03157762
4/1/2003,0.5530368905,6,1.26,11312.766,3.906384042,1356.37,-27.17945689
7/1/2003,2.671073123,6.2,1.01,11566.669,5.304323364,1641.77,16.95184499
10/1/2003,2.095867494,6,1.01,11772.234,6.425939569,1832.25,50.96150677
1/1/2004,2.220074706,5.7,1,11923.447,6.705829152,1999.77,44.40336499
4/1/2004,2.538381927,5.6,1,12112.815,7.072090062,2019.09,48.85982438
7/1/2004,1.77113696,5.5,1.26,12305.307,6.38591802,2006.67,22.22601217
10/1/2004,2.660501094,5.5,1.76,12527.214,6.413226241,1942.2,6.000818666
1/1/2005,3.421759136,5.3,2.28,12767.286,7.07713969,2152.15,7.619876286
4/1/2005,2.096479013,5.2,2.79,12922.656,6.685819935,1984.81,-1.697794551
7/1/2005,3.028645573,5,3.26,13142.642,6.804665662,2057.37,2.526573876
10/1/2005,3.331575156,5,3.78,13324.204,6.362069012,2155.43,10.97878694
1/1/2006,2.884321866,4.7,4.29,13599.16,6.515668248,2243.74,4.255744256
4/1/2006,2.887031617,4.7,4.79,13753.424,6.428771299,2336.74,17.73116822
7/1/2006,3.053930524,4.7,5.24,13870.188,5.535766705,2190.43,6.467480327
10/1/2006,3.65069704,4.4,5.25,14039.56,5.368846049,2237.6,3.812232362
1/1/2007,2.964410263,4.6,5.25,14215.651,4.533302057,2423.16,7.996470179
4/1/2007,2.368325368,4.5,5.25,14402.082,4.716338273,2422.26,3.65979955
7/1/2007,2.828170985,4.7,5.26,14564.117,5.003025193,2632.3,20.17275147
10/1/2007,3.434630521,4.7,4.76,14715.058,4.811390101,2740.99,22.49687165
1/1/2008,3.283605276,5,3.94,14706.538,3.453144706,2609.63,7.695323462
4/1/2008,2.241013884,5,2.28,14865.701,3.219110959,2362.75,-2.456796545
7/1/2008,3.989128739,5.8,2.01,14898.999,2.299363566,2304.97,-12.43513277
10/1/2008,2.201710242,6.5,0.97,14608.209,-0.7261201417,2069.4,-24.50173113
1/1/2009,2.403640625,7.8,0.15,14430.902,-1.874241239,1632.21,-37.45435177
4/1/2009,1.861170199,9,0.15,14381.236,-3.258944869,1551.6,-34.33075865
7/1/2009,0.1258325134,9.5,0.16,14448.882,-3.021122426,1845.72,-19.92433741
10/1/2009,1.190365419,10,0.12,14651.249,0.2946288624,2057.48,-0.5760123707
1/1/2010,0.6801108459,9.8,0.11,14764.61,2.312454204,2308.42,41.42910532
4/1/2010,0.4526162542,9.9,0.2,14980.193,4.164850643,2402.58,54.84532096
7/1/2010,0.6323050684,9.4,0.18,15141.607,4.794315574,2101.36,13.85042152
10/1/2010,1.126090571,9.4,0.19,15309.474,4.49262039,2370.75,15.22590742
1/1/2011,2.27322626,9.1,0.17,15351.448,3.974625811,2691.52,16.5957668
4/1/2011,2.249219196,9.1,0.1,15557.539,3.854062494,2789.6,16.10851668
7/1/2011,2.537031376,9,0.07,15647.68,3.342267436,2816.03,34.00987932
10/1/2011,2.022265145,8.8,0.07,15842.259,3.480099969,2335.83,-1.472951598
1/1/2012,3.198089285,8.3,0.08,16068.805,4.6728947,2648.72,-1.590179527
4/1/2012,2.285133843,8.2,0.14,16207.115,4.175313332,3119.7,11.83323774
7/1/2012,2.083711194,8.2,0.16,16319.541,4.29367804,2951.24,4.801440326
10/1/2012,1.875047663,7.8,0.16,16420.419,3.649479534,3113.53,33.29437502
1/1/2013,2.741807504,8,0.14,16648.189,3.605644601,3112.26,17.50052856
4/1/2013,2.088884186,7.6,0.15,16728.687,3.218166836,3239.17,3.829534891
7/1/2013,2.003200047,7.3,0.09,16953.838,3.886733089,3434.49,16.3744731
10/1/2013,1.163729291,7.2,0.09,17192.019,4.699027473,3817.98,22.62544443
1/1/2014,2.406326504,6.6,0.07,17197.738,3.300953635,4143.07,33.12094748
4/1/2014,2.214932229,6.2,0.09,17518.508,4.721356793,4268.04,31.76338383
7/1/2014,2.404903838,6.2,0.09,17804.228,5.015914391,4458.65,29.81985681
10/1/2014,2.428956551,5.7,0.09,17912.079,4.188338787,4422.09,15.82276492
1/1/2015,1.947529599,5.7,0.11,18063.529,5.034330678,4726.81,14.08955195
4/1/2015,2.962650539,5.4,0.12,18279.784,4.345552715,4880.23,14.34358628
7/1/2015,1.922025301,5.2,0.13,18401.626,3.355371544,5013.12,12.43582699
10/1/2015,2.283164491,5,0.12,18435.137,2.920141208,4627.08,4.635590863
1/1/2016,2.708416591,4.8,0.34,18525.933,2.559876312,4903.09,3.729365047
4/1/2016,3.825477883,5.1,0.37,18711.702,2.362817854,4914.54,0.7030406354
7/1/2016,2.490164711,4.8,0.39,18892.639,2.668313115,4862.57,-3.003119814
10/1/2016,2.018025562,4.9,0.4,19089.379,3.548886021,5300.87,14.56188352
1/1/2017,3.436305775,4.7,0.65,19280.084,4.070785531,5429.08,10.72772476
4/1/2017,1.553658363,4.4,0.9,19438.643,3.884953918,5894.68,19.94367733
7/1/2017,2.122093683,4.3,1.15,19692.595,4.234220534,6110.06,25.65495201
10/1/2017,2.424963024,4.2,1.15,20037.088,4.9645879,6516.72,22.93680094
1/1/2018,4.170000418,4,1.41,20328.553,5.438093527,7006.9,29.06238258
4/1/2018,2.932009148,4,1.69,20580.912,5.876279532,6870.12,16.54780243
7/1/2018,2.111493914,3.8,1.91,20798.73,5.617009846,7567.69,23.85623054
10/1/2018,2.606262687,3.8,2.19,20917.867,4.395743533,8037.3,23.33351748
1/1/2019,2.889604726,4,2.4,21111.6,3.851956408,6665.94,-4.866060597
4/1/2019,2.829462324,3.7,2.42,21397.938,3.969824078,7828.91,13.95594255
7/1/2019,3.200888812,3.7,2.4,21717.171,4.415851352,8091.16,6.917170233
10/1/2019,2.670727309,3.6,1.83,21933.217,4.853984395,7908.67,-1.600413074
1/1/2020,3.610687693,3.6,1.55,21751.238,3.029794047,9092.19,36.39771735
4/1/2020,2.180866529,14.8,0.05,19958.291,-6.727970704,7360.58,-5.982058805
7/1/2020,3.443135908,10.2,0.09,21704.437,-0.05863562984,10154.63,25.50277093
10/1/2020,1.82057569,6.9,0.09,22087.16,0.7018715038,11326.61,43.21763331
1/1/2021,1.206181344,6.4,0.09,22680.693,4.273113098,12698.45,39.66327145
4/1/2021,2.898023167,6.1,0.07,23425.91,17.37432829,13480.11,83.13923631
7/1/2021,3.120084124,5.4,0.1,23982.379,10.4952826,14522.38,43.01239927
10/1/2021,6.91449915,4.5,0.08,24813.6,12.34400439,14566.7,28.6059995
1/1/2022,6.407783583,4,0.08,25250.347,11.32969791,15832.8,24.68293374
4/1/2022,6.633146057,3.7,0.33,25861.292,10.39610414,14261.5,5.796614419
7/1/2022,7.02923581,3.5,1.68,26336.304,9.815227255,11127.85,-23.37447443
10/1/2022,7.542808064,3.6,3.08,26770.514,7.886457427,10815.43,-25.7523667
1/1/2023,6.725673804,3.5,4.33,27216.445,7.786419727,10386.98,-34.39581123
4/1/2023,5.671254241,3.4,4.83,27530.055,6.452744124,12189.45,-14.52897662
7/1/2023,3.228607938,3.5,5.12,28074.846,6.601313533,13816.77,24.16387712
10/1/2023,4.165762953,3.9,5.33,28424.722,6.179216432,13307.77,23.04429875
1/1/2024,5.724913885,3.7,5.33,28708.161,5.48093625,14765.94,42.15816339
4/1/2024,4.25132259,3.9,5.33,29147.044,5.873540754,16396.83,34.51656966
7/1/2024,2.636289491,4.2,5.33,29511.664,5.117812579,17879.3,29.40289228
10/1/2024,3.698694597,4.1,4.83,29825.182,4.926908344,17910.36,34.5857345
1/1/2025,3.930193438,4,4.33,30042.113,4.646595092,19280.79,30.57610961
4/1/2025,3.980957331,4.2,4.33,30485.729,4.592867119,17449.89,6.422338952
7/1/2025,3.367944767,4.2,4.33,#N/A,#N/A,20202.89,12.99597859
10/1/2025,#N/A,#N/A,,,,,